FID,Latitude,Longitude,Depth_m
103,70.20110431,-153.3084516,0.6
104,70.20110127,-153.3084876,0.6
105,70.20109822,-153.3085414,0.6
106,70.20109822,-153.3086043,0.6
107,70.20109518,-153.3086582,0.6
108,70.20109518,-153.3087031,0.6
109,70.20109213,-153.308757,0.6
110,70.20108909,-153.3088019,0.6
111,70.20107082,-153.3091253,0.4
112,70.20106777,-153.3091882,0.4
113,70.20106168,-153.3092331,0.4
114,70.20105559,-153.309323,0.4
115,70.20105559,-153.3093409,0.4
116,70.2010495,-153.3093858,0.4
117,70.20102819,-153.3097811,0.3
118,70.20102514,-153.309826,0.3
119,70.20102514,-153.3098799,0.3
120,70.2010221,-153.3099248,0.3
121,70.20100992,-153.3100865,0.3
122,70.20100687,-153.3101494,0.3
123,70.20100992,-153.3101853,0.3
124,70.20100687,-153.3102392,0.3
125,70.20100383,-153.3102751,0.3
126,70.20099469,-153.310347,0.3
127,70.20099469,-153.3104099,0.3
128,70.20099774,-153.3104548,0.3
129,70.20099774,-153.3104997,0.3
130,70.20099774,-153.3105536,0.3
131,70.20100078,-153.3106165,0.6
132,70.20100078,-153.3106614,0.6
133,70.20099774,-153.3107153,0.6
134,70.2009886,-153.3107782,0.6
135,70.2009886,-153.3108231,0.6
136,70.2009886,-153.3109309,0.6
137,70.20098556,-153.3109758,0.6
138,70.20098251,-153.3110297,0.6
139,70.20097947,-153.3111015,0.6
140,70.20097338,-153.3111554,0.6
141,70.20097642,-153.3112004,0.6
142,70.20098251,-153.3112632,0.6
143,70.20098251,-153.3113261,0.6
144,70.20097642,-153.31138,0.6
145,70.20097033,-153.3114339,0.7
146,70.20096729,-153.3115058,0.6
147,70.20096729,-153.3115417,0.7
148,70.20096424,-153.3116046,0.6
149,70.20095511,-153.3117124,0.6
150,70.20095511,-153.3117393,0.6
151,70.20094902,-153.3117932,0.6
152,70.20094902,-153.3117932,0.6
153,70.20093988,-153.311901,0.6
154,70.20093684,-153.3119639,0.6
155,70.20093075,-153.3120178,0.6
156,70.2009277,-153.3120807,0.6
157,70.20092466,-153.3121436,0.7
158,70.20092161,-153.3121974,0.7
159,70.20092161,-153.3122603,0.7
160,70.20091857,-153.3122963,0.6
161,70.20091552,-153.3123502,0.6
162,70.20090943,-153.312413,0.6
163,70.20090639,-153.3124669,0.6
164,70.2009003,-153.3124939,0.6
165,70.2009003,-153.3125388,0.6
166,70.20089421,-153.3125747,0.6
167,70.20088507,-153.3126196,0.7
168,70.20088203,-153.3126735,0.7
169,70.20086985,-153.3127903,0.7
170,70.20086985,-153.3128173,0.7
171,70.20086376,-153.3128801,0.7
172,70.20086376,-153.3129251,0.8
173,70.20086071,-153.31297,0.8
174,70.20085767,-153.3130328,0.8
175,70.20085462,-153.3130957,0.9
176,70.20084853,-153.3131586,0.9
177,70.20084853,-153.3131945,0.9
178,70.20084549,-153.3132664,0.9
179,70.20084244,-153.3132933,0.9
180,70.2008394,-153.3133562,1
181,70.20083635,-153.3134101,1
182,70.20083026,-153.313464,1
183,70.20082722,-153.3135089,1
184,70.20082113,-153.3135539,1
